z,H_z_km_s_Mpc,E_z,q_z
0.0,67.21799999998676,0.9999999999998029,-0.5851766590135128
0.01,67.49903140692741,1.0041808951014224,-0.576191326691543
0.02,67.78448403811349,1.0084275646123582,-0.5671451289885936
0.03,68.07435738188774,1.0127400009207017,-0.558075017944021
0.04,68.36865007831213,1.0171181837946996,-0.5489843651276283
0.05,68.66735993794802,1.0215620806621444,-0.5398765063160027
0.06,68.97048396095573,1.0260716468945184,-0.5307547378607518
0.07,69.27801835647753,1.0306468260953543,-0.5216223132327639
0.08,69.58995856226908,1.0352875503922918,-0.5124824397468478
0.09,69.9062992645434,1.039993740732295,-0.5033382754691171
0.1,70.22703441799365,1.04476530717953,-0.4941929263089321
0.11,70.5521572659608,1.0496021492154006,-0.4850494432973482
0.12,70.88166036071303,1.0545041560402426,-0.47591082005189034
0.13,71.21553558380525,1.0594712068762124,-0.46677999042838025
0.14,71.5537741664868,1.0645031712708917,-0.457659826358377
0.15,71.89636671012788,1.0695999094011703,-0.44855313587145396
0.16,72.24330320663479,1.0747612723769644,-0.4394626613001277
0.17,72.59457305882643,1.0799871025443546,-0.4303910776653086
0.18,72.95016510074413,1.0852772337877372,-0.4213409912391677
0.19,73.3100676178698,1.090631491830608,-0.41231493828188326
0.2,73.67426836722686,1.0960496945346017,-0.4033153839489956
0.21,74.04275459734052,1.1015316521964431,-0.3943447213646636
0.22,74.41551306803504,1.1070771678424682,-0.3854052708561091
0.23,74.79253007004667,1.1126860375204062,-0.3764992793458606
0.24,75.17379144443201,1.1183580505881163,-0.36762891989444146
0.25,75.55928260175315,1.1240929899990055,-0.3587962913894529
0.26,75.9489885410219,1.12989063258386,-0.3500034183761198
0.27,76.34289386838643,1.1357507493288468,-0.34125225102160095
0.28,76.7409828155454,1.1416731056494598,-0.3325446652091705
0.29,77.14323925787511,1.1476574616601967,-0.3238824627550042
0.3,77.5496467322569,1.1537035724397766,-0.31526737174178265
0.31,77.96018845459272,1.1598111882917184,-0.306701046963629
0.32,78.37484733699868,1.1659800550001291,-0.2981850704750809
0.33,78.79360600466593,1.1722099140805429,-0.28972095223925576
0.34,79.21644681238148,1.1785005030256996,-0.2813101308680347
0.35000000000000003,79.64335186070018,1.184851555546136,-0.27295397444834035
0.36,80.07430301176208,1.1912628018054996,-0.2646537814499744
0.37,80.50928190474909,1.1977339686504966,-0.25641078170638043
0.38,80.94826997097618,1.2042647798354038,-0.24822613746533773
0.39,81.39124844861355,1.2108549562410895,-0.2401009445018334
0.4,81.83819839703636,1.2175042160884935,-0.23203623328923306
0.41000000000000003,82.2891007107999,1.2242122751465365,-0.22403297022128088
0.42,82.74393613323902,1.2309788469344374,-0.2160920588825298
0.43,83.20268526969066,1.2378036429184245,-0.2082143413587867
0.44,83.66532860033972,1.2446863727028432,-0.2004005995858188
0.45,84.13184649268875,1.2516267442156677,-0.1926515567295113
0.46,84.60221921365286,1.2586244638884354,-0.18496787859357655
0.47000000000000003,85.07642694128143,1.265679236830632,-0.17735017505074724
0.48,85.5544497761091,1.2727907669985583,-0.16979900149299854
0.49,86.03626775213901,1.2799587573587283,-0.16231486029645137
0.5,86.52186084746141,1.287182910045842,-0.15489820229863938
0.51,87.01120899451148,1.2944629265153897,-0.1475494282822709
0.52,87.50429208997075,1.3017985076909568,-0.14026889046436508
0.53,88.00109000431634,1.309189354106286,-0.13305689398636755
0.54,88.5015825910231,1.3166351660421776,-0.12591369840210798
0.55,89.00574969542376,1.324135643658302,-0.1188395191614432
0.56,89.51357116323294,1.3316904871200115,-0.11183452908669211
0.5700000000000001,90.02502684874,1.3392993967202236,-0.10489885983970249
0.58,90.54009662267745,1.3469620729964809,-0.09803260337632647
0.59,91.05876037977069,1.3546782168432665,-0.09123581338683961
0.6,91.58099804597549,1.3624475296196776,-0.08450850672165866
0.61,92.10678958540966,1.3702697132525463,-0.07785066479721714
0.62,92.63611500698568,1.3781444703351138,-0.07126223498448037
0.63,93.16895437075065,1.3860715042213492,-0.06474313197527581
0.64,93.70528779394117,1.394050519116028,-0.05829323912690931
0.65,94.24509545675863,1.402081220160651,-0.051912409783892666
0.66,94.78835760787348,1.4101633135153304,-0.04560046857373945
0.67,95.33505456966408,1.4182965064367294,-0.03935721267924386
0.68,95.88516674319803,1.4264805073521678,-0.03318241308311132
0.6900000000000001,96.43867461296236,1.4347150259299943,-0.02707581578656093
0.7000000000000001,96.99555875134988,1.442999773146328,-0.021037143000370295
0.71,97.55579982290823,1.451334461348273,-0.015066094306748434
0.72,98.1193785883595,1.459718804313718,-0.009162347794203884
0.73,98.68627590839583,1.4681525173078018,-0.0033255611638713933
0.74,99.25647274725895,1.4766353171361681,0.002444627195115512
0.75,99.82995017611006,1.4851669221950974,0.0081485971571027
0.76,100.40668937619624,1.4937470525186145,0.013786745842216952
0.77,100.98667164182108,1.5023754298226826,0.019359486626356004
0.78,101.56987838312423,1.5110517775465535,0.024867248181576596
0.79,102.15629112867855,1.5197758208914063,0.030310473545454464
0.8,102.7458915279087,1.5285472868563286,0.0356896192185161
0.81,103.33866135333963,1.537365904271767,0.04100515429077456
0.8200000000000001,103.93458250267912,1.5462314038305085,0.0462575595963699
0.8300000000000001,104.5336370007415,1.5551435181163007,0.05144732689727216
0.84,105.13580700121813,1.5641019816301902,0.05657495809338098
0.85,105.74107478830005,1.5731065308146635,0.06164096446095613
0.86,106.34942277815851,1.5821569040756718,0.06664586591727062
0.87,106.96083352028919,1.59125284180263,0.0715901903126912
0.88,107.57528969872484,1.6003940863864565,0.07647447274806485
0.89,108.19277413312207,1.6095803822357415,0.08129925491801404
0.9,108.81326977972697,1.6188114757911118,0.0860650844792985
0.91,109.43675973222466,1.6280871155378716,0.09077251444377699
0.92,110.06322722247792,1.6374070520169883,0.09542210259542117
0.93,110.69265562115874,1.6467710378344897,0.1000144109307366
0.9400000000000001,111.32502843827815,1.6561788276693468,0.10455000512224832
0.9500000000000001,111.96032932361854,1.6656301782799032,0.10902945400457043
0.96,112.5985420670723,1.6751248485089156,0.11345332908172745
0.97,113.23965059889188,1.6846625992872724,0.11782220405684707
0.98,113.88363898985418,1.6942431936364393,0.12213665438124344
0.99,114.53049145134422,1.7038663966697047,0.12639725682468472
1.0,115.18019233536116,1.713531975592269,0.1306045890646601
1.01,115.8327261344509,1.7232396997002424,0.13475922929559325
1.02,116.48807748156827,1.732989340378593,0.13886175585461946
1.03,117.14623114987268,1.7427806710981086,0.14291274686718136
1.04,117.80717205246042,1.7526134674114138,0.14691277990962126
1.05,118.47088524203687,1.7624875069480923,0.1508624316873295
