z,H_z_km_s_Mpc,D_M_Mpc,D_H_Mpc,D_V_Mpc,r_d_Mpc_CAMB,D_M_over_r_d,D_H_over_r_d,D_V_over_r_d
0.295,83.63865446080334,1191.1507844538712,3584.3768641746333,1144.7826915895507,88.13186439181587,13.515551868484973,40.67061203016473,12.989430094206176
0.51,96.67344202284549,1907.2524734806584,3101.083935018619,1791.8432854933287,88.13186439181587,21.64089556759417,35.186864097550995,20.33138976303925
0.706,108.45429888925594,2480.7432362772633,2764.2284452562076,2290.0629554012385,88.13186439181587,28.14808529691823,31.36468817869352,25.984505958254744
0.934,122.04076520347013,3074.4755677230005,2456.494413978614,2788.6986287835252,88.13186439181587,34.884948695224736,27.872942787838376,31.642342392594276
1.321,145.16746491686493,3945.415821093833,2065.149089513179,3488.830982633663,88.13186439181587,44.767188897234014,23.43249066344447,39.58648789185996
1.484,155.56704056269186,4270.681536619959,1927.0949483620652,3736.317691070423,88.13186439181587,48.457859890872164,21.866040865703276,42.394628967106996
2.33,241.3528366106621,5603.444148110706,1242.1335593565434,4495.846109834089,88.13186439181587,63.58022931636807,14.094034750408513,51.012719869926904
