z,sigma8_z,fsigma8,f_growth_rate
0.0,0.1906567963333908,0.18873065873666045,0.9898973567490233
0.5,0.23727893920000911,0.23245133084485695,0.9796542905517508
1.0,0.31301110855868414,0.2980308980671436,0.9521416011063646
2.0,0.4522719445836528,0.3879829826188924,0.857853305440065
3.0,0.5684678532123921,0.41532823753016174,0.7306098932123536
4.0,0.7280346828243635,0.35710540597587365,0.4905060354961474
