parameter,p16,median,p84,minus,plus
n0,0.5698192212191198,0.5828603575208505,0.5919289699224873,0.01304113630173076,0.00906861240163681
zt,1.2497269605676502,1.3242326485113138,1.4938826679001065,0.07450568794366363,0.16965001938879265
beta,10.366517275472575,10.45973047233906,10.71868969823135,0.09321319686648621,0.2589592258922888
omega_m,0.060681944655304236,0.06328590643602908,0.06642806822347147,0.002603961780724841,0.0031421617874423935
H0,65.33401581297782,65.70573815122471,66.09162177299507,0.37172233824688306,0.3858836217703612
rd,141.76995481217497,142.39860406343197,143.05801122894886,0.6286492512570021,0.6594071655168818
