k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.0001,358.9911005745354,204.88220259428127,125.11852774695598,53.070097470085685,28.498584473743442,17.981552471206708
0.00010462594806665536,379.2845645531807,216.14245783011998,131.87841643755328,55.842676678093426,29.93077050382896,18.865908256647252
0.00010946589008846461,400.9950750036091,228.1721839390928,139.09275195486882,58.79326698382019,31.448812533249882,19.801056109455388
0.00011452972531465902,424.23644704794475,241.0353650171192,146.79987617077674,61.936694394518824,33.05942322985753,20.790778366574436
0.00011982781092859816,449.1310324073341,254.8014718583554,155.04164083921395,65.28920914526891,34.7699492818458,21.839206875673707
0.00012537098323156507,475.80770270102386,269.54495685181536,163.86335268042293,68.86858546808368,36.58845472158808,22.950880881696897
0.00013117057980651246,504.40417329929556,285.34640488932683,173.31439058832882,72.69430704781718,38.5237738025134,24.130765556305228
0.00013723846270709245,535.0631937888655,302.2912062519611,183.44779122787355,76.78760715052242,40.58558509590727,25.384307234319905
0.0001435870427193987,567.9353402743825,320.4710748054554,194.32108472712244,81.17173269101029,42.78449806763524,26.71747162343946
0.00015022930474604428,603.1742535108391,339.9821280642199,205.9954793523065,85.8718742975691,45.132100128032185,28.136795348578783
0.0001571788343644937,640.9382040385144,360.9260435024335,218.5366412238474,90.91547339057223,47.64107662364028,29.64944429039732
0.00016444984561396941,681.3859045389586,383.40821315792255,232.01396255555667,96.33213540999266,50.32523813314809,31.263251518904653
0.00017205721006776655,724.6746908997987,407.5373482846702,246.50061845322494,102.15380370978494,53.19963180308781,32.986786784151334
0.0001800164872504375,770.9585357778108,433.4247647256847,262.07329334906416,108.41480022979759,56.28060283553379,34.82939964144086
0.00018834395646206,820.3810810363882,461.1811904144263,278.8107062229907,115.15159034611456,59.58580715814805,36.801261258804146
0.00019705665007467883,873.0766679567176,490.91779070548125,296.7944250519576,122.40317842152525,63.13438165331586,38.913459055043106
0.00020617238836902421,929.1581045352999,522.7395618330083,316.10534221377077,130.21020860467078,66.946740016481,41.17796369363811
0.00021570981598275827,988.7194689738658,556.7477795586867,336.82547757694033,138.61576643090856,71.04491881928308,43.60779403924081
0.00022568844004479846,1051.8206390353969,593.0307576973311,359.0326968684461,147.66374473526292,75.45209802130165,46.216843252310184
