ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
25,68.98882658908478,5.179564183886978e-05,6.019521093234349e-11,-0.005453110498538106,68.98881812314339,5.179560508445265e-05,-0.005453103371130608,5.147276974788837e-15,3.7979436658655094e-07,1.0212190480621476e-11
26,64.74140163042017,5.103235488696501e-05,7.6806909555799e-11,-0.0065970624033157964,64.74139354348785,5.1032304792027156e-05,-0.006597054854136647,4.133636470165265e-15,3.2592651033891874e-07,-1.5005265569000588e-11
27,60.899980148397276,5.161069632484357e-05,9.309759457485659e-11,-0.0075555256352831815,60.899972440469355,5.161063346267998e-05,-0.007555517668552158,3.3446129133213987e-15,2.810872406708265e-07,-3.4695814000046155e-11
28,57.41311690803214,5.3248506325920924e-05,1.08994770007595e-10,-0.008438477354080674,57.413109577906894,5.324843133877726e-05,-0.008438468975696334,2.7251516112866347e-15,2.435354609864483e-07,-4.694953879673695e-11
29,54.24081567136411,5.570282585338745e-05,1.2442887155438312e-10,-0.009237479357011417,54.24080871667047,5.5702739447026095e-05,-0.009237470574512095,2.234897254584923e-15,2.119148002690389e-07,-5.21547345990887e-11
30,51.34964961142184,5.8753262487356616e-05,1.3933363930089986e-10,-0.010015449335109554,51.34964302865232,5.875316542521081e-05,-0.010015440157627157,1.8439425704038586e-15,1.8515291714845402e-07,-5.1567717301334204e-11
31,48.69947480502284,6.20829208556798e-05,1.5364644934706497e-10,-0.010688112411224786,48.699468589571225,6.208281395262522e-05,-0.010688102849431688,1.5300855437773632e-15,1.623915169601853e-07,-4.784207450856286e-11
32,46.26472572010869,6.557627298233809e-05,1.6730863916502293e-10,-0.011290709881965781,46.264719866312426,6.557615709815047e-05,-0.011290699948015164,1.2765297683847981e-15,1.429418488984451e-07,-4.314660341511052e-11
33,44.0199569168652,6.882403180739492e-05,1.8026579677592097e-10,-0.01186801502236129,44.01995141805208,6.88239078399365e-05,-0.011868004729821337,1.07043360072198e-15,1.2624999212914826e-07,-3.868453256422387e-11
34,41.946427728774125,7.188272384939075e-05,1.9246802280377243e-10,-0.012441646126089256,41.94642257731307,7.188259272758118e-05,-0.012441635489871577,9.019203899307422e-16,1.1186580113956248e-07,-3.506470687356617e-11
35,40.028491286759,7.481261032284626e-05,2.038701649626986e-10,-0.013046949548276942,40.02848647411455,7.481247299947532e-05,-0.013046938584559716,7.633886954162389e-16,9.941979721688345e-08,-3.215831496688619e-11
36,38.24523845811827,7.776960169317514e-05,2.1443201966765822e-10,-0.013610489856194244,38.245233974908466,7.776945913761208e-05,-0.013610478582340503,6.489138917738563e-16,8.860943008241476e-08,-2.979238805107758e-11
37,36.586809846941726,8.078244266602965e-05,2.241185020032378e-10,-0.014138685730797898,36.58680568299902,8.078229585688637e-05,-0.014138674165269483,5.538582855637872e-16,7.91892108262072e-08,-2.804004775848425e-11
38,35.042708696777325,8.371627122560389e-05,2.328997836163936e-10,-0.014610618270089783,35.04270484121224,8.371612114340967e-05,-0.014610606432357443,4.745575417267449e-16,7.095526483537973e-08,-2.6938210210862833e-11
39,33.60209428672157,8.654391649158395e-05,2.4075139692220327e-10,-0.015051178212413028,33.60209072798857,8.654376411152789e-05,-0.015051166122863235,4.081103419635202e-16,6.373467061698566e-08,-2.6314911094192884e-11
40,32.25531517183065,8.92734168316005e-05,2.476543051555784e-10,-0.015494558618956746,32.25531189779601,8.9273263116397e-05,-0.015494546298795734,3.5219438455308487e-16,5.7382059224859527e-08,-2.5992115555785104e-11
41,30.993798565915267,9.192362118927322e-05,2.5359493957102107e-10,-0.01596081978521665,30.993795563926454,9.192346708220555e-05,-0.01596080725637224,3.0494468770719666e-16,5.1775824637159183e-08,-2.582413600838163e-11
42,29.81018375739268,9.455296328799805e-05,2.5856520276409385e-10,-0.016436608319558805,29.810181014348856,9.455280970619287e-05,-0.01643659560458055,2.648725622932653e-16,4.681536788281273e-08,-2.5667073804939436e-11
43,28.697921820807693,9.721932801677054e-05,2.6256243606884945e-10,-0.016905100933578943,28.697919323230987,9.721917584475085e-05,-0.016905088055537223,2.307693113998715e-16,4.2415700891680654e-08,-2.5405703695811035e-11
44,27.651273814970434,9.996360001479716e-05,2.6558936439976096e-10,-0.0173574990804365,27.651271549077546,9.99634500983721e-05,-0.01735748606282103,2.0164524527591214e-16,3.850434808594481e-08,-2.4955371966067747e-11
