z,H_z_km_s_Mpc,D_M_Mpc,D_H_Mpc,D_V_Mpc,r_d_Mpc_CAMB,D_M_over_r_d,D_H_over_r_d,D_V_over_r_d
0.295,77.34592515774574,1230.8977587462866,3875.995501877807,1201.0186389441517,152.17207976508266,8.088854148845824,25.47113444109733,7.892503281799379
0.51,87.01120899451148,2017.5945245852665,3445.4464139087,1926.760875708872,152.17207976508266,13.258638034650973,22.641777777024842,12.661724008000222
0.706,97.3313017958177,2656.549793031404,3080.123788222896,2485.0564831896636,152.17207976508266,17.457537526808352,20.24105731470498,16.330567913811766
0.934,110.94525233654105,3314.7116114004793,2702.165723059607,3026.798095608405,152.17207976508266,21.782653010444506,17.75730296405954,19.890627112943836
1.321,137.46164951240243,4254.912477360261,2180.917070785996,3736.2942992456633,152.17207976508266,27.9611902783272,14.331913411138306,24.553086906702
1.484,149.75168523892572,4595.520146370653,2001.930445869022,3973.5993692045568,152.17207976508266,30.199496211558902,13.15570142012598,26.112539010696608
2.33,222.3353037850308,5985.150260661098,1348.3799149138283,4828.0612459031145,152.17207976508266,39.33146126346397,8.860889047421871,31.72764184702271
