k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.0005833602707534897,2800.8844178518625,1704.9117817291865,1077.4016865753952,514.5014028045131,294.8607876885903,189.9036365883946
0.0006103462139200461,2923.485515429203,1779.5676916648192,1124.6008856855358,537.0612322580497,307.80036828764446,198.24317981877581
0.0006385805128027846,3051.2598152232645,1857.3747519168414,1173.793604594009,560.5754978930585,321.28843579951183,206.93686072624394
0.0006681209156888229,3184.403379281385,1938.4521174993595,1225.0549922542532,585.0803313053957,335.3457483610852,215.99816801948472
0.00069902784227105,3323.1171133944617,2022.9218577023519,1278.4621440799178,610.6126344959652,349.99356805995507,225.44086835393583
0.0007313645072259703,3467.607004721786,2110.909095790072,1334.0941423442744,637.2101487595692,365.25367813582307,235.27903591893494
0.0007651970495081932,3618.0834859168403,2202.541698372908,1392.0317288871731,664.9113892247442,381.1482496735613,245.52703063686747
0.0008005946676260214,3774.761295771793,2297.9501969356525,1452.3572443354255,693.7556144931185,397.69981667609113,256.1994857116914
0.0008376297611748131,3937.859445937435,2397.2677658093803,1515.154580491944,723.7828080219293,414.9313292892265,267.3112711408726
0.0008763780789176095,4107.600539903342,2500.629856889623,1580.5088880570042,755.0335464819291,432.8660892960164,278.87741937260495
0.0009169188737158896,4284.210778114885,2608.174036837334,1648.5067594346942,787.5490460498189,451.527734289765,290.9131787043612
0.0009593350646273477,4467.918184170383,2720.0387505924327,1719.235828456482,821.3709310904021,470.94005584990293,303.4339259451419
0.0010037134065022234,4658.953520130235,2836.3641561829368,1792.7848374424839,856.5413155320861,491.12709295478413,316.4551898174357
0.0010501446674250734,4857.548136388504,2957.291406226969,1869.242727301785,893.102455257372,512.1129585107128,329.99248940295615
0.001098723814364908,5063.934764563942,3082.9627223791504,1948.6989850725251,931.0968597049929,533.9218891144543,344.0613914860412
0.0011495502074134033,5278.345001832055,3213.5193082059686,2031.2428985153056,970.5669483163297,556.5780521811971,358.6773852153332
0.001202727803008476,5501.009657071207,3349.1017113056737,2116.9636212454757,1011.5550726653687,580.1055527843446,373.85588973488444
0.001258365366558873,5732.156771433196,3489.8490821522964,2205.9493202670787,1054.1032440230445,604.5283004143278,389.6121953743135
0.0013165766949046636,5972.010791956226,3635.8986839259846,2298.286860151392,1098.2529931155802,629.8699284443344,405.96141120454985
0.001377480849068641,6220.79203226697,3787.384787410031,2394.061348154349,1144.0450936101,656.1536418314901,422.918363124664
0.0014412023977746792,6478.714566143931,3944.4369885715464,2493.355158378011,1191.5191365469536,683.401993529593,440.4974583413712
0.0015078716722311274,6745.985632722846,4107.180843455688,2596.2480248853763,1240.7135041916085,711.6369042503761,458.7126860636868
0.0015776250327003472,7022.801126286229,4275.735749077182,2702.815382538091,1291.664572078007,740.8793357372417,477.5774198498748
0.001650605147399619,7309.347149899049,4450.2153892483875,2813.1289193125635,1344.4069409124943,771.1492880156899,497.104431365678
0.0017269612843038662,7605.795044218467,4630.724914508436,2927.2546747384595,1398.9723794401243,802.4651677859806,517.3056078559414
0.0018068496164470066,7912.302711165281,4817.361395706196,3045.2535503121344,1455.39015331238,834.8439745427281,538.1919818466437
0.0018904335413464062,8229.010969160287,5010.210382578399,3167.180014488421,1513.6862778998775,868.3008265622918,559.7733642495994
0.001977884015203725,8556.043056469958,5209.346085769398,3293.081868202011,1573.8834779229924,902.8489540259432,582.0583563528827
0.0020693799025657267,8893.499064521648,5414.829538927857,3422.997988532806,1636.0002945526292,938.4991322048661,605.0540987158867
0.0021651083421602205,9241.454079360266,5626.707471739707,3556.9576127498294,1700.0507448432666,975.2594857043316,628.7661453811202
0.002265265129655375,9599.958390190823,5845.010923498359,3694.980362004345,1766.044267215495,1013.1354871071153,653.1982010452268
