z,H_z_km_s_Mpc,E_z,q_z
0.0,65.54499999998643,0.9999999999997929,-0.05747896130077379
0.01,66.1627251498701,1.009424443510109,-0.0571235256901792
0.02,66.78027489425988,1.018846210912501,-0.05700225602456044
0.03,67.39746406109319,1.0282624770934958,-0.05705725864522826
0.04,68.01425521472555,1.037672670908926,-0.05710399161607482
0.05,68.63070350430034,1.047077633752389,-0.057088047089982275
0.06,69.24684236363471,1.0564778757133986,-0.05705677549075461
0.07,69.86266519347365,1.065873296109141,-0.05704252705428381
0.08,70.47816318044582,1.075263760476708,-0.05703840273283267
0.09,71.09333853618519,1.0846493025583215,-0.057032475648787995
0.1,71.70819782359996,1.0940300224822634,-0.057022672007374764
0.11,72.32274583922705,1.103405993427829,-0.05701231459702272
0.12,72.93698471199193,1.1127772478753821,-0.05700346315114524
0.13,73.55091644589379,1.1221438163993254,-0.056995663108541095
0.14,74.1645436421805,1.1315057386861012,-0.05698814443945921
0.15,74.77786919202413,1.1408630588454363,-0.05698069383650484
0.16,75.39089586582237,1.1502158191444407,-0.056973574247114245
0.17,76.00362610777974,1.1595640568735943,-0.056966984959362366
0.18,76.61606232703433,1.1689078087883793,-0.056960918990098475
0.19,77.22820687528473,1.1782471107679415,-0.05695539217476531
0.2,77.84006204218802,1.1875819977448778,-0.05695037761080357
0.21,78.45163011830869,1.1969125046656295,-0.0569459137146936
0.22,79.06291324898085,1.2062386642609024,-0.056942092267510125
0.23,79.67391351398786,1.2155605082613143,-0.056938901905939754
0.24,80.28463298353225,1.224878068251312,-0.05693639774274628
0.25,80.8950735774345,1.2341913735210084,-0.05693464992040731
0.26,81.50523718919133,1.2435004529589035,-0.056933634185305615
0.27,82.11512568561669,1.2528053350464061,-0.05693343245132443
0.28,82.72474077113534,1.2621060457874032,-0.05693411468728293
0.29,83.33408414147135,1.2714026110530376,-0.05693565471264572
0.3,83.94315745540052,1.2806950561507442,-0.056938149174095565
0.31,84.55196220551979,1.289983403852617,-0.056941667748836466
0.32,85.16049988465421,1.2992676769342317,-0.056946180209054065
0.33,85.76877194938525,1.308547897618205,-0.056951793044565546
0.34,86.376779681171,1.3178240854553513,-0.056958586008668655
0.35000000000000003,86.98452436190598,1.3270962600031426,-0.05696652072168995
0.36,87.59200725153774,1.336364440484213,-0.056975704553372086
0.37,88.19922942345619,1.3456286432749438,-0.056986237260325256
0.38,88.8061919409896,1.354888884598209,-0.056998072299855984
0.39,89.41289587015287,1.364145180717871,-0.05701130284981859
0.4,90.01934208766816,1.3733975450098126,-0.05702605564349039
0.41000000000000003,90.62553143168148,1.3826459902613697,-0.057042288603947666
0.42,91.23146476909683,1.391890529698632,-0.05706005698924066
0.43,91.83714280358134,1.401131174057233,-0.05707951157728053
0.44,92.44256614637519,1.4103679326626772,-0.057100642754926434
0.45,93.0477354526831,1.4196008155112227,-0.05712344364815747
0.46,93.65265128223704,1.4288298311425287,-0.05714806906464054
0.47000000000000003,94.25731403222574,1.4380549856163816,-0.05717457292016859
0.48,94.8617241353187,1.447276285533888,-0.05720288767136705
0.49,95.46588201796995,1.4564937374013265,-0.05723312843533279
0.5,96.06978790847107,1.4657073447016717,-0.05726541635200988
0.51,96.67344202284549,1.4749171107307268,-0.05729968200461144
0.52,97.27684462373203,1.484123039495492,-0.057335943019177216
0.53,97.87999585059484,1.4933251331237294,-0.057374341908811965
0.54,98.48289573080989,1.5025233920331054,-0.057414885820991746
0.55,99.08554434294878,1.5117178174223629,-0.057457490860168936
0.56,99.68794177062993,1.5209084105672428,-0.05750223894784767
0.5700000000000001,100.29008793728477,1.5300951702995615,-0.05754921532793533
0.58,100.89198276866912,1.5392780954865988,-0.05759833604139708
0.59,101.49362624725728,1.54845718586097,-0.05764955424768159
0.6,102.09501831131134,1.5576324404807587,-0.05770293601490262
0.61,102.69615881268628,1.566803857085762,-0.057758475782580976
0.62,103.29704765173561,1.5759714341557038,-0.05781606090696634
0.63,103.89768477989699,1.5851351709496833,-0.057875640515015925
0.64,104.49807011939096,1.594295066281043,-0.05793720379454603
0.65,105.0982035937668,1.6034511189833975,-0.0580006736366685
0.66,105.69808518299273,1.6126033287511286,-0.05806592929674648
