ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
25,9.659066025263847,0.00010696120760177253,1.3467731426793346e-06,0.01558429872029903,9.656275474010654,0.00010561484722026676,0.015586854606997758,1.865060640955539e-12,5.517336967092567e-07,-2.35073162769394e-10
26,9.088679422750648,0.00011346720504068807,1.3464324396809895e-06,0.014891932370518376,9.08590952808844,0.00011212127183972843,0.014894653112054717,1.6047650725589046e-12,4.771176606224483e-07,-1.4802880096041926e-10
27,8.578708831052694,0.00012018122043561694,1.3461077486930598e-06,0.014210866172065973,8.575959917944129,0.00011883571315669874,0.014213752350689904,1.38771902569329e-12,4.1464822755713587e-07,-9.040543413636676e-11
28,8.119329090280893,0.00012700237297397606,1.345801964578246e-06,0.013530730327324238,8.116601443234842,0.00012565728945804997,0.013533781983812785,1.2056216758855995e-12,3.6204144557055354e-07,-6.8534738796239e-11
29,7.703265751757516,0.0001338847761168395,1.345517996278748e-06,0.01288649216363514,7.700559615376602,0.00013254011347799718,0.012889708795444595,1.0519232386955279e-12,3.174698373867856e-07,-6.077382661982516e-11
30,7.326382554565163,0.00014082813446793805,1.3452587790458115e-06,0.012219609126775454,7.323698134245175,0.00013948388931442533,0.012222989687657506,9.214740658541142e-13,2.794860668394865e-07,-5.07440029285049e-11
31,6.980126453714897,0.00014787820436232992,1.345027225252225e-06,0.011600108227069571,6.977463916490865,0.00014653437300425826,0.011603651128124575,8.102436844726247e-13,2.4695510985547313e-07,-4.117528892870038e-11
32,6.665963522151042,0.00015520978059604216,1.3448262366203118e-06,0.01099087085693181,6.663322997683922,0.00015386635930178527,0.010994573969067115,7.149941722763054e-13,2.1896946111620046e-07,-3.698424187486753e-11
33,6.377078711899181,0.00016250660846342188,1.3446586840979264e-06,0.010394019105158258,6.374460293596556,0.0001611635937326796,0.010397879762914649,6.330673548140972e-13,1.9480119611499753e-07,-4.147384654022237e-11
34,6.110555155617233,0.00016981668290674075,1.3445273918863555e-06,0.009822423680848796,6.107958901880763,0.00016847407176449517,0.00982643868755341,5.62300939797126e-13,1.7384799235051137e-07,-5.423992144803676e-11
35,5.86694316362348,0.00017700925264719697,1.3444351270903746e-06,0.009216546892920825,5.864369099215331,0.00017566704296397757,0.00922071252712059,5.009366420221119e-13,1.555839935975426e-07,-6.579067867623153e-11
36,5.639486307264605,0.0001841124529960452,1.3443845835597218e-06,0.008620486905829991,5.636934424784521,0.0001827706438281899,0.008624798928955619,4.475316540718299e-13,1.3958737804542597e-07,-6.817883432068208e-11
37,5.4289916130122124,0.00019130752731151486,1.3443783661085846e-06,0.008011930139971805,5.426461874476471,0.00018996611926098777,0.008016383805178646,4.0089260207236744e-13,1.255658005075468e-07,-5.877519125112203e-11
38,5.234188811345889,0.00019860456320844013,1.3444189770074786e-06,0.007409507036515719,5.231681149858966,0.00019726355880333202,0.00741409709864448,3.600282283002465e-13,1.1327062061465031e-07,-3.8986839726978096e-11
39,5.0531209878494705,0.00020595022616865124,1.3445088010515918e-06,0.006818666745689436,5.050635309358865,0.0002046096302614544,0.006823387472286852,3.2410985078314423e-13,1.0244438261301607e-07,-1.8830516407443e-11
40,4.884168825913032,0.00021329643939815306,1.3446500886433296e-06,0.006237565835424035,4.88170501103744,0.0002119562595779905,0.006242411018760927,2.924434276919436e-13,9.286212390641124e-08,-7.653769059987793e-12
41,4.725908455290116,0.00022061210791709054,1.3448449426055898e-06,0.005665658040498026,4.723466361210862,0.00021927235493744373,0.005670621010519983,2.644460270005479e-13,8.434143657310651e-08,-9.91915989472791e-12
42,4.577422145917518,0.00022790124585529543,1.3450953046298835e-06,0.005106117074637719,4.5750016083230145,0.00022656193407432176,0.005111190712781891,2.396259182853465e-13,7.674704646498975e-08,-2.0374528450148225e-11
43,4.437924824573737,0.0002351737739179093,1.345402930908653e-06,0.0045610343426219085,4.435525659646585,0.0002338349217376345,0.004566211096431935,2.1756639106854987e-13,6.99673240648067e-08,-3.301436882888026e-11
44,4.306829615201043,0.00024243117258784488,1.3457694125962952e-06,0.004026962921902742,4.304451621637343,0.00024109280293380954,0.0040322348203728296,1.9791293467110533e-13,6.3905985636387e-08,-4.328463042835032e-11
45,4.183644694496608,0.0002496661917171061,1.3461961120886e-06,0.0035000471844946306,4.181287655547036,0.0002483283324706914,0.0035054058540731473,1.8036291173771105e-13,5.8479701310382464e-08,-4.7778172112190726e-11
46,4.067629135349412,0.00025686610804891575,1.3466841846951762e-06,0.002978526200083566,4.065292820871667,0.00025552879251381736,0.0029839628812662316,1.6465659865833227e-13,5.3614870168700844e-08,-4.4981665833013904e-11
47,3.9581642601110714,0.0002640270973080972,1.3472345591810017e-06,0.002461470242104948,3.9558484286234346,0.0002626903646655759,0.002466975806547928,1.5057023845778613e-13,4.924300378598345e-08,-3.755441659990802e-11
48,3.8546708872522903,0.0002711293784293442,1.3478479237156881e-06,0.0019481623756256818,3.852375287978159,0.000269793274183123,0.0019537273437092635,1.3791071949131713e-13,4.5303866703549547e-08,-2.848466375921627e-11
49,3.7566685209308917,0.0002781546192907985,1.3485247197764428e-06,0.0014381690936559506,3.754392895824414,0.0002768191957047478,0.0014437836524303785,1.2651109528099154e-13,4.1745436389349654e-08,-2.0112259398147753e-11
50,3.6638886670470674,0.00028511509309374784,1.349265131812307e-06,0.000931449604669411,3.661632752790251,0.0002837804096130595,0.0009371036261156679,1.1622672538899103e-13,3.852265936470198e-08,-1.4251251731559989e-11
51,3.576086399034408,0.00029202094912887254,1.3500690799437874e-06,0.0004287057715279733,3.5738499289964114,0.0002906870727824793,0.0004343888310677476,1.0693177286876074e-13,3.5596916482195916e-08,-1.1891955232264071e-11
52,3.4927704752978146,0.00029886868137288155,1.3509362125371636e-06,-6.704950320458205e-05,3.490553181447482,0.00029753568715153134,-6.134810801362355e-05,9.851610380633293e-14,3.293636346835676e-08,-1.2269523094645758e-11
53,3.413459221088083,0.00030564520572982093,1.3518659023905808e-06,-0.0005531418617498283,3.4112608358512295,0.00030431317693780453,-0.000547433092395259,9.088359940249276e-14,3.051348133314046e-08,-1.439187790956937e-11
54,3.337832901372928,0.0003123411457605435,1.3528572441414703e-06,-0.0010291317211714485,3.335653159426306,0.0003110101743365713,-0.001023426779303245,8.394999695657976e-14,2.8303959582772634e-08,-1.7450533982557023e-11
55,3.2656321615406894,0.0003189517708692622,1.3539090504776093e-06,-0.0014954339387368881,3.2634708015350844,0.0003176219576695013,-0.0014897442472773092,7.764138644124295e-14,2.62863102798187e-08,-2.078977453662033e-11
56,3.1968516761392705,0.00032546256303029073,1.3550198530191263e-06,-0.0019537576120730697,3.194708442344694,0.0003241340180724148,-0.001948094796373204,7.189276039902543e-14,2.4441580572639602e-08,-2.3875463339703223e-11
57,3.1314648774542024,0.00033187061208370366,1.356187903477369e-06,-0.0024058134416576186,3.1293395213207167,0.00033054345474643553,-0.00240018931075155,6.664656415031026e-14,2.275321295862926e-08,-2.625925792761945e-11
58,3.0691753534706874,0.0003381800881312836,1.3574111756755339e-06,-0.0028519097650243973,3.0670676350989816,0.00033685444730456403,-0.0028463362930286453,6.185197338026211e-14,2.1206524913894323e-08,-2.758121072332471e-11
59,3.0096356000991418,0.00034439627023657136,1.3586873720744228e-06,-0.003291824764939448,3.0075452896156016,0.00034307228442124874,-0.003286314072642059,5.746403704056674e-14,1.9788399085665593e-08,-2.7560131194494103e-11
60,2.9526483021508434,0.00035051131421444924,1.3600139287698441e-06,-0.0037246710808713558,2.9505751809824736,0.0003491891315645194,-0.003719235417551475,5.3442865858732467e-14,1.848708260432074e-08,-2.5980298488135407e-11
61,2.898077012616169,0.0003565182302720436,1.3613880243430771e-06,-0.004149731699634868,2.8960208746613927,0.00035519800857806657,-0.00414438342515012,4.9753085561660946e-14,1.729172168614207e-08,-2.2866194415696655e-11
62,2.8457864640321464,0.00036240947430865974,1.3628065899552543e-06,-0.004567116390521422,2.8437471167241584,0.00036109138091864116,-0.004561867957696699,4.636328974216019e-14,1.619135165645472e-08,-1.8959824675895108e-11
63,2.7956693515298165,0.0003681794990333892,1.3642663209595537e-06,-0.004977140428082264,2.7936466167898324,0.00036686371070800345,-0.004972004365429936,4.32454876390084e-14,1.517595235783061e-08,-1.5046609259611695e-11
64,2.747602556584665,0.00037382265017628185,1.3657636898638298e-06,-0.005380091177992034,2.745596271663085,0.00037250935287551465,-0.005375080072789817,4.037462685439691e-14,1.4236633471398304e-08,-1.177412297041553e-11
65,2.701504441452335,0.0003793375604768737,1.3672949623382043e-06,-0.005776328774541394,2.6995144596565077,0.0003780269490772706,-0.005771455256290485,3.772832440621848e-14,1.336551486107558e-08,-9.672627383064842e-12
66,2.6573143821813527,0.00038471510949109343,1.3688562131707244e-06,-0.006166203681608528,2.6553405734892928,0.00038340738743016103,-0.006161480405890961,3.5286437953520976e-14,1.255592261679625e-08,-9.023006051684545e-12
67,2.6148956253784923,0.0003899524000775086,1.3704433452474669e-06,-0.006548940140615202,2.6129378769385525,0.0003886477789253978,-0.006544379773365764,3.303078866285646e-14,1.1803218185174872e-08,-9.47589982664786e-12
68,2.574098464558212,0.00039504441086595367,1.3720521087977393e-06,-0.0069235934570819994,2.5721566810753713,0.0003937431098223362,-0.006919208659286612,3.0945002580024616e-14,1.1103465734627962e-08,-1.0595001594175648e-11
69,2.5347762365036988,0.000399989940992219,1.3736781234684848e-06,-0.007289383274020321,2.532850340513734,0.00039869218630941437,-0.007285186686849334,2.9014345871987497e-14,1.0453042913514022e-08,-1.201062313071063e-11
70,2.4968136683392634,0.0004047892141147906,1.375316899054572e-06,-0.007645880832976566,2.4949036003726994,0.0004034952384446421,-0.007641885063358178,2.7225537339824125e-14,9.848610782617509e-09,-1.3410696299808235e-11
71,2.460115511565247,0.00040944546289231463,1.3769638606100135e-06,-0.007993150167459509,2.458221230203544,0.0004081555045606812,-0.007989367774095424,2.556657519324748e-14,9.286998117335939e-09,-1.456465041639823e-11
72,2.4247597222405095,0.000413960822395746,1.3786143726320923e-06,-0.008332716182788089,2.422881204067524,0.00041267512460384166,-0.008329159662610575,2.4026552164888595e-14,8.764953532192585e-09,-1.540125782265705e-11
73,2.390814485265999,0.0004183357404448112,1.3802637649428842e-06,-0.008666058594922232,2.388951724718259,0.0004170545503999346,-0.008662740369988937,2.2595589417321778e-14,8.279426656631668e-09,-1.5891521795323097e-11
74,2.3582200730012994,0.00042256419396246133,1.3819073578286781e-06,-0.00899330493959077,2.3563730821211535,0.00042128776193892906,-0.008990237344411128,2.1264746925014403e-14,7.82763066019457e-09,-1.601307245737609e-11
75,2.32691188547147,0.0004266402708688674,1.3835404907403763e-06,-0.00931421394875794,2.3250806935676063,0.0004253688492049818,-0.009311409218042601,2.002590222683394e-14,7.407015942462253e-09,-1.574920685142527e-11
76,2.296777746627609,0.0004305568545148549,1.3851585478352293e-06,-0.009628455498309003,2.2949623998478805,0.0004292906965457384,-0.00962592575513163,1.887171504717071e-14,7.01515312356547e-09,-1.5115735177359655e-11
77,2.267622429168629,0.000434312036447043,1.3867569870117288e-06,-0.00993469374363107,2.2658229899904954,0.0004330513953805472,-0.009932450987989883,1.779554198677752e-14,6.64944158687258e-09,-1.4234736070805165e-11
78,2.239378326681878,0.00043790315735589395,1.3883313663093688e-06,-0.010232734482201947,2.23759487332612,0.0004366482850933729,-0.010230790579966748,1.6791330769378257e-14,6.3074324358732486e-09,-1.3237497840923676e-11
79,2.212041814472814,0.00044132886970678825,1.3898773723321573e-06,-0.010522713532381987,2.2102744402464753,0.00044008001561588876,-0.010521080204610959,1.585357534159445e-14,5.986919177161056e-09,-1.2237068821815535e-11
80,2.185586329298072,0.000444588263926192,1.391390847276508e-06,-0.010804912536232588,2.1838351418728403,0.000443345673570076,-0.010803601348841974,1.4977242246543422e-14,5.685903476335702e-09,-1.13304294106063e-11
81,2.159990324449648,0.00044768051636971055,1.392867815768813e-06,-0.011079386498377902,2.158255445082096,0.00044644443019898857,-0.011078408852146752,1.415772405413239e-14,5.402656818484816e-09,-1.058558404109472e-11
82,2.135228072993247,0.00045060536664328076,1.394304511371807e-06,-0.011346050301450633,2.1335096356935344,0.00044937601865742096,-0.01134541742234205,1.3390801181238757e-14,5.1359002143063485e-09,-1.000298193177593e-11
83,2.1112452191618103,0.00045336124096183046,1.395697401482178e-06,-0.011604971346705562,2.1095433698175485,0.0004521388573461249,-0.011604694276485479,1.267260363255647e-14,4.884528737330112e-09,-9.56840597377407e-12
84,2.088010732128841,0.00045594765042437,1.3970432119879672e-06,-0.011855962348322317,2.086325627590923,0.0004547324481704541,-0.01185605193545661,1.1999578888563638e-14,4.6475195301714405e-09,-9.268853832068778e-12
85,2.0654888029822773,0.000458363792379192,1.398338950498408e-06,-0.012099185407087876,2.063820610119484,0.00045715597789643006,-0.012099652297898595,1.1368481698871457e-14,4.423931832966595e-09,-9.092440501548559e-12
86,2.0436483520294644,0.0004606111350405074,1.3995819271439245e-06,-0.012334467755281091,2.041997246758676,0.000459410902765006,-0.01233532238534287,1.0776313398513753e-14,4.212909915417729e-09,-9.022188050636454e-12
87,2.0224337378558976,0.0004626890461488589,1.4007697775471856e-06,-0.012561766159860337,2.020799904154656,0.0004614965771618597,-0.01256301874561847,1.0220321652324191e-14,4.013743377166384e-09,-9.019352663289448e-12
88,2.001801754818369,0.0004645978566078443,1.4019004780328347e-06,-0.012781033596684789,2.000185383726456,0.00046341331726565047,-0.012782694127277125,9.697965732902542e-15,3.825785872482958e-09,-9.044248413555012e-12
89,1.9817354080075278,0.00046633812411999505,1.4029723642553271e-06,-0.01299229746468218,1.9801366966240928,0.0004651616647090276,-0.012994375693947806,9.206911733181867e-15,3.648430673652236e-09,-9.062178758074441e-12
90,1.9622126442237613,0.0004679071882891914,1.4039841458679928e-06,-0.013195708512231202,1.960631794706338,0.0004667389417125908,-0.013198213950889947,8.745007302875635e-15,3.4811091550984277e-09,-9.042902326398434e-12
91,1.9432181562676265,0.0004693057010699484,1.4049349189111151e-06,-0.013391248490688644,1.941655374839186,0.0004681457815739407,-0.013394190398676524,8.310265731388232e-15,3.323263252186824e-09,-8.96586790952149e-12
92,1.9247319864218473,0.00047053305781484035,1.405824176311435e-06,-0.013579129461263242,1.9231874823917725,0.0004693815597635241,-0.013582516840210408,7.900851041845978e-15,3.174280066556974e-09,-8.835468068219995e-12
93,1.9067458899299419,0.00047158898943600063,1.406651816131245e-06,-0.013759342577221674,1.9052198747345426,0.00047044598614282354,-0.01376318416306075,7.51506599007228e-15,3.0335706392093682e-09,-8.661134705208764e-12
94,1.8892359538799262,0.00047247505023801777,1.4074181470881346e-06,-0.013932099111159325,1.8877286401477904,0.00047134059286162784,-0.013936403366853693,7.151344856448995e-15,2.900588843418773e-09,-8.451324826460215e-12
95,1.8721949538296665,0.0004731908462486341,1.4081238920756603e-06,-0.01409739812810227,1.8707065544768238,0.0004720649627613291,-0.014102173236485391,6.808234720523863e-15,2.774826994187798e-09,-8.21361154641938e-12
96,1.8556006115006816,0.0004737372401342579,1.4087701886430124e-06,-0.014255298520541365,1.8541313388601781,0.00047261993436995676,-0.01426055237726005,6.484396557704047e-15,2.655815434622188e-09,-7.954776701190735e-12
97,1.8394367858139,0.0004741147508835617,1.4093585870713988e-06,-0.014405863807565212,1.8379868508040134,0.0004730060016725109,-0.014411604014121481,6.1785869740573166e-15,2.5431184420547306e-09,-7.68088381765918e-12
98,1.8236928989384111,0.0004743235867874857,1.4098910462723867e-06,-0.014549161547324068,1.8222625102733299,0.00047322334718472145,-0.014555395404212017,5.889653523592638e-15,2.4363303714899535e-09,-7.397343252253131e-12
