a,z,n_a,E_tip,rho_de_eff_over_rhoc0,w_eff_ppf
1.4802691267395101e-05,67554.2831533164,9.852392611165248e-52,95855959.01803525,7246336835256809.0,0.3288878652956555
1.5148189222583474e-05,66013.49092734883,1.2876986931548047e-51,91547526.04317401,6609574614495050.0,0.3287855229902259
1.5501751173357687e-05,64507.840892677,1.6830104014261787e-51,87433057.13993713,6028810213397939.0,0.32868085792434454
1.5863565335085898e-05,63036.53153071281,2.1996791845530427e-51,83503812.85349752,5499116202801428.0,0.3285738189321137
1.623382431612278e-05,61598.77960380169,2.8749605533368794e-51,79751447.66936554,5015998928198130.0,0.3284643537924694
1.661272522034293e-05,60193.819738272745,3.757547119273469e-51,76167992.25231427,4575360310389930.0,0.3283524092110308
1.700046975206718e-05,58820.90401699956,4.911079679744705e-51,72745836.48616387,4173463010948299.5,0.32823793080156816
1.7397264323438025e-05,57479.30158125351,6.418736174215903e-51,69477713.27830914,3806898666032970.5,0.32812086306766264
1.7803320164301157e-05,56168.29824163804,8.389229407967903e-51,66356683.09450603,3472558918241881.0,0.3280011493831505
1.821885343465165e-05,54887.196097896776,1.0964646022097792e-50,63376119.19098832,3167608999985310.0,0.32787873197397244
1.8644085339704853e-05,53635.31316739245,1.4330691955535552e-50,60529693.51246775,2889463643597472.5,0.3277535518984678
1.907924224765265e-05,52411.983022060616,1.8730083170086645e-50,57811363.22599554,2635765113206192.0,0.32762554902861507
1.952455581016861e-05,51216.554433642414,2.4480047205456322e-50,55215357.86200681,2404363171441381.0,0.3274946620307446
1.9980263085725506e-05,50048.39102700954,3.199519755141572e-50,52736167.03517281,2193296810533679.0,0.3273608283457179
2.0446606665791178e-05,48906.8709413959,4.181743024277954e-50,50368528.71891401,2000777592372196.5,0.3272239841703215
2.092383480396979e-05,47791.386499355955,5.465499843529955e-50,48107418.04860863,1825174455785370.2,0.3270840644369173
2.1412201548157315e-05,46701.34388327331,7.143358251858128e-50,45948036.62965611,1664999861796880.5,0.32694100279441796
2.1911966875781472e-05,45636.162819247635,9.336303828604925e-50,43885802.327631034,1518897158996238.0,0.32679473158835504
2.242339683219845e-05,44595.27626819095,1.220246361819406e-49,41916339.51878743,1385629061547615.2,0.3266451818417029
2.294676367231936e-05,43578.130123970295,1.5948508219831463e-49,40035469.780158184,1264067141829901.5,0.3264922832350976
2.3482346005542763e-05,42584.18291843415,2.0844554214346026e-49,38239202.99942364,1153182248335216.2,0.32633596408713106
2.4030428944069695e-05,41612.90553316707,2.724364149961882e-49,36523728.885623716,1052035767327403.8,0.32617615133487265
2.4591304254680463e-05,40663.78091781854,3.560718998964871e-49,34885408.86263786,959771653941828.6,0.32601277051458055
2.516527051405389e-05,39736.303814856125,4.653827128714232e-49,33320768.32817311,875609164955252.4,0.3258457457421098
2.5752633267711988e-05,38829.980490596085,6.082509445494917e-49,31826489.26177833,798836231425012.1,0.3256749996938122
2.6353705192673932e-05,37944.32847236942,7.949784152114935e-49,30399403.16614828,728803414841251.9,0.325500453586983
2.6968806263906926e-05,37078.87629168172,1.0390295096381134e-48,29036484.326686293,664918395400417.1,0.32532202716151915
2.7598263924661804e-05,36233.1632332315,1.3580020554540582e-48,27734843.374976765,606640945535721.8,0.32513963866032713
2.8242413260784356e-05,35406.7390896527,1.7748962522342213e-48,26491721.142462987,553478345968520.25,0.32495320481117074
2.8901597179095115e-05,34599.16392185109,2.3197731502267622e-48,25304482.791244656,504981205309181.8,0.3247626408083306
2.9576166589932566e-05,33810.00782480682,3.0319222668587093e-48,24170612.20949936,460739647669001.75,0.32456786029422346
3.026648059395689e-05,33038.85069871861,3.9626946416613306e-48,23087706.659596045,420379835875165.5,0.32436877534147857
3.0972906673314065e-05,32285.282025367338,5.1792056131179167e-48,22053471.66750557,383560800735421.7,0.32416529643603553
3.169582088726115e-05,31548.90064958089,6.769174314099121e-48,21065716.142629605,349971549402368.3,0.3239573324592584
3.2435608072358115e-05,30829.31456568277,8.847248848086264e-48,20122347.717656177,319328428260949.25,0.32374479067182915
